IDs         length   Exptl.  resolution  R-factor FreeRvalue
2RB7A       364      XRAY        1.600    0.15    0.18
5TQBA       277      XRAY        2.400    0.19    0.23
4YUCA       335      XRAY        1.310    0.17    0.19
3A1JC       263      XRAY        2.500    0.21    0.28
3CWWA       990      XRAY        1.960    0.18    0.21
2GB4A       252      XRAY        1.250    0.14    0.19
5M2PA       109      XRAY        1.330    0.15    0.17
2R2DA       276      XRAY        1.750    0.16    0.21
4PKMA       309      XRAY        1.650    0.18    0.20
2BSYA       278      XRAY        1.500    0.15    0.19
3HNYM       159      XRAY        1.070    0.20    0.20
1QFTA       175      XRAY        1.250    0.18    1.00
1EAQA       140      XRAY        1.250    0.15    0.17
3HBCA       320      XRAY        2.270    0.19    0.23
1XAKA        83      XRAY        1.800    0.22    0.28
4PY3A       241      XRAY        2.350    0.24    0.26
4K37A       370      XRAY        1.620    0.17    0.20
4KS9A       428      XRAY        2.300    0.24    0.29
5OOOA       170      XRAY        2.200    0.20    0.22
4MT8A       102      XRAY        1.900    0.20    0.23
6D0JA       421      XRAY        3.000    0.24    0.26
5VIPB       287      XRAY        1.860    0.18    0.21
3FDHA       499      XRAY        1.750    0.16    0.19
3FSSA       237      XRAY        1.430    0.18    0.21
4K3ZA       331      XRAY        1.950    0.19    0.23
5IU1A       116      XRAY        1.700    0.16    0.20
3I45A       387      XRAY        1.360    0.16    0.17
5XA5A       279      XRAY        1.600    0.19    0.22
1KJNA       157      XRAY        2.200    0.22    0.25
3FPPA       341      XRAY        2.990    0.29    0.35
3H36A        93      XRAY        1.800    0.20    0.24
2YXNA       322      XRAY        1.800    0.20    0.25
1YT5A       258      XRAY        2.300    0.22    0.28
4NOOA       205      XRAY        2.300    0.19    0.23
3L8DA       242      XRAY        1.700    0.21    0.23
5DM2A       265      XRAY        1.500    0.21    0.24
3L4EA       206      XRAY        1.500    0.17    0.22
4F43A       320      XRAY        2.350    0.24    0.29
4IJNA       398      XRAY        1.700    0.17    0.20
4C3SA       445      XRAY        1.640    0.15    0.17
5WK0A       163      XRAY        1.330    0.15    0.19
4F01A       241      XRAY        1.400    0.16    0.21
2A14A       263      XRAY        1.700    0.16    0.20
4Q3KA       260      XRAY        1.570    0.15    0.19
3H7HA       120      XRAY        1.550    0.19    0.22
3WUCA       137      XRAY        1.600    0.18    0.22
2Q7FA       243      XRAY        2.490    0.21    0.26
2G0DA       409      XRAY        2.210    0.19    0.23
3SIBA       220      XRAY        1.900    0.16    0.19
4P3HA       193      XRAY        1.450    0.17    0.20
5AOGA       307      XRAY        1.270    0.14    0.16
4A1RA       149      XRAY        1.920    0.22    0.29
3CC8A       230      XRAY        1.640    0.17    0.20
6C3CA       413      XRAY        1.500    0.16    0.19
2QGUA       211      XRAY        1.500    0.19    0.21
4XXUA       257      XRAY        1.430    0.16    0.18
2PFTA       571      XRAY        2.250    0.23    0.28
4HYZA       114      XRAY        2.250    0.19    0.21
3BF5A       306      XRAY        1.910    0.20    0.24
2PNLA       203      XRAY        2.210    0.20    0.27
5B66B       505      XRAY        1.850    0.16    0.20
5JH8A       317      XRAY        1.020    0.13    0.15
5VACA       229      XRAY        1.950    0.19    0.23
2HLYA       207      XRAY        1.600    0.17    0.21
3D37A       381      XRAY        2.100    0.22    0.27
1RSGA       516      XRAY        1.900    0.21    0.24
4BPSA       344      XRAY        1.080    0.13    0.15
1AEPA       161      XRAY        2.700    0.21    1.00
5C37A       664      XRAY        2.300    0.21    0.25
5K87A       399      XRAY        1.220    0.16    0.18
5WXMA       159      XRAY        2.300    0.20    0.24
3Q87B       170      XRAY        2.000    0.20    0.26
4C2VC        44      XRAY        1.490    0.17    0.20
5CEGA        93      XRAY        1.590    0.17    0.20
1XTTA       216      XRAY        1.800    0.19    0.23
3DXRB        95      XRAY        2.500    0.25    0.28
4OH7A       320      XRAY        1.500    0.16    0.18
4OVMA       144      XRAY        2.720    0.22    0.26
3G6EI        70      XRAY        2.700    0.19    0.23
4TX3B       481      XRAY        2.500    0.17    0.23
4P3VA        90      XRAY        1.250    0.16    0.17
1PL5A       142      XRAY        2.500    0.26    0.29
4X2PA       383      XRAY        1.650    0.14    0.18
4JO0A       534      XRAY        2.170    0.20    0.23
5W53A       307      XRAY        1.710    0.17    0.19
3MZ2A       292      XRAY        1.550    0.17    0.20
2XKIA       110      XRAY        1.300    0.15    0.18
1PD3A        58      XRAY        2.600    0.18    0.24
5WCHA       421      XRAY        2.500    0.21    0.26
3DEFA       262      XRAY        1.960    0.17    0.21
2X0DA       413      XRAY        2.280    0.19    0.24
5FC2B       540      XRAY        1.840    0.18    0.21
5XG2A       260      XRAY        2.000    0.22    0.26
3BONA       425      XRAY        1.200    0.13    0.16
4BOHM        60      XRAY        2.590    0.19    0.24
5CXXA       275      XRAY        1.550    0.14    0.16
4CJ0A       625      XRAY        1.100    0.11    0.12
3DSDA       349      XRAY        2.200    0.20    0.25
1JB7B       260      XRAY        1.860    0.23    0.25
4ZX2A       333      XRAY        1.230    0.16    0.17
4N0KA       108      XRAY        1.050    0.16    0.18
4YBBCU       93      XRAY        2.100    0.22    0.23
3TDSA       268      XRAY        1.980    0.18    0.20
4XS5A       143      XRAY        2.900    0.21    0.26
4XRAA       186      XRAY        1.750    0.17    0.20
3OSSC        68      XRAY        2.630    0.21    0.27
1NXHA       126      XRAY        2.800    0.23    0.32
3RKGA       261      XRAY        1.280    0.17    0.20
4Z39A       121      XRAY        1.300    0.13    0.16
4JJAA       371      XRAY        1.300    0.12    0.15
4XCPA       170      XRAY        2.140    0.20    0.22
5V87A       162      XRAY        1.690    0.18    0.20
3ND1A       275      XRAY        1.500    0.20    0.22
4Q7AA       370      XRAY        2.050    0.16    0.17
2GM3A       175      XRAY        2.460    0.22    0.26
4OSNA       129      XRAY        1.760    0.20    0.23
5UC0A       163      XRAY        1.730    0.18    0.21
3GFAA       198      XRAY        1.350    0.14    0.16
3OQPA       211      XRAY        1.220    0.14    0.17
1IKTA       120      XRAY        1.750    0.19    0.21
2FYZB        48      XRAY        2.200    0.24    0.28
4PLZA       322      XRAY        1.050    0.13    0.15
3L32A        45      XRAY        1.500    0.20    0.23
1DVOA       152      XRAY        2.000    0.20    0.22
3LAEA        81      XRAY        1.450    0.17    0.22
2XNQA        97      XRAY        1.300    0.18    0.19
4KVXA       156      XRAY        2.000    0.18    0.22
2PPQA       322      XRAY        2.000    0.19    0.23
3E05A       204      XRAY        1.800    0.22    0.26
1TUVA       114      XRAY        1.700    0.21    0.25
2PETA       231      XRAY        1.700    0.17    0.21
3C6AA       232      XRAY        1.160    0.13    0.17
1LUCA       355      XRAY        1.500    0.18    1.00
1NGMB        72      XRAY        2.950    0.28    0.31
3DWGC        93      XRAY        1.530    0.18    0.22
2QDLA       165      XRAY        2.200    0.20    0.23
3U4GA       337      XRAY        1.900    0.17    0.22
3MCZA       352      XRAY        1.900    0.15    0.19
6MGGB       387      XRAY        1.780    0.18    0.21
1K5NA       276      XRAY        1.090    0.12    0.15
5Y2SA       260      XRAY        0.900    0.11    0.13
2R1FA       270      XRAY        2.210    0.22    0.26
2DULA       378      XRAY        1.900    0.20    0.23
4XUUA       169      XRAY        2.620    0.25    0.29
3AOTA       227      XRAY        2.200    0.23    0.26
3QUFA       414      XRAY        1.700    0.15    0.18
2FNUA       375      XRAY        1.500    0.15    0.18
2GDMA       153      XRAY        1.700    0.16    1.00
3GR3A       230      XRAY        1.450    0.15    0.17
3POWA       265      XRAY        1.550    0.18    0.19
2PHPA       192      XRAY        2.030    0.22    0.24
1D8WA       426      XRAY        1.600    0.18    0.24
2PQ7A       220      XRAY        1.450    0.18    0.19
2YJGA       436      XRAY        1.800    0.18    0.23
4WBEA       120      XRAY        2.050    0.20    0.23
1SX5A       244      XRAY        1.500    0.21    0.25
5X57A        81      XRAY        1.450    0.13    0.17
4NBPA       132      XRAY        1.310    0.15    0.18
4H5IA       365      XRAY        1.360    0.18    0.20
3GO2A       409      XRAY        1.700    0.15    0.18
4UQWA       163      XRAY        1.500    0.16    0.18
5OVUA       197      XRAY        2.100    0.24    0.25
4JNDA       454      XRAY        1.650    0.18    0.20
5B3DA       140      XRAY        2.300    0.21    0.24
4E5XG       100      XRAY        1.950    0.22    0.24
5YYLC        78      XRAY        2.650    0.24    0.28
2VZYA       218      XRAY        2.000    0.17    0.20
4XZFA       122      XRAY        1.380    0.17    0.21
5ENQA       609      XRAY        1.800    0.18    0.22
2MPRA       427      XRAY        2.400    0.19    0.22
4YMRA       144      XRAY        2.400    0.23    0.27
3MMYA       368      XRAY        1.650    0.21    0.24
4MXTA       190      XRAY        1.400    0.14    0.17
4MVEA       151      XRAY        2.110    0.18    0.20
3U52A       511      XRAY        1.950    0.18    0.23
3OG6A       196      XRAY        2.100    0.18    0.23
3JRNA       176      XRAY        2.000    0.17    0.21
4JGIA       211      XRAY        1.500    0.15    0.19
3RLFF       514      XRAY        2.200    0.23    0.25
5EFRA       446      XRAY        2.000    0.21    0.23
4P98A       317      XRAY        1.900    0.16    0.20
2X9KA       280      XRAY        2.180    0.21    0.25
2QU8A       228      XRAY        2.010    0.23    0.26
2QZUA       491      XRAY        1.700    0.20    0.22
5WRKA       278      XRAY        2.620    0.19    0.22
4NUZA       899      XRAY        1.910    0.19    0.23
1IUJA       106      XRAY        1.600    0.23    0.26
2VZCA       131      XRAY        1.050    0.14    0.16
2Q40A       367      XRAY        1.700    0.17    0.22
3GWLA       106      XRAY        2.100    0.22    0.26
4ZV0A       163      XRAY        1.400    0.15    0.16
2X46A       144      XRAY        1.000    0.14    0.16
3W20A       273      XRAY        1.770    0.21    0.24
2QRLA       394      XRAY        1.600    0.21    0.24
5TGFA       339      XRAY        1.810    0.15    0.19
3EIPA        84      XRAY        1.800    0.22    0.27
4TZMA       253      XRAY        2.300    0.20    0.22
2BW3A       534      XRAY        2.000    0.18    0.21
4KK7A       395      XRAY        1.680    0.18    0.21
4PDYA       351      XRAY        1.350    0.13    0.17
3SJMA        64      XRAY        1.350    0.17    0.21
5JRCA       219      XRAY        1.900    0.21    0.23
1QSAA       618      XRAY        1.650    0.17    0.19
3U9JA       160      XRAY        1.600    0.17    0.22
3BHNA       236      XRAY        1.760    0.16    0.19
5ELBA       103      XRAY        1.080    0.12    0.15
3GN4A       148      XRAY        2.700    0.21    0.26
3D7AA       138      XRAY        1.900    0.24    0.28
4NEOA        93      XRAY        2.100    0.18    0.20
5KY4B        40      XRAY        1.470    0.15    0.17
5B7EA       526      XRAY        1.420    0.16    0.18
4LY4A       326      XRAY        2.200    0.17    0.21
1JMKC       230      XRAY        1.710    0.23    0.24
5FHKA       207      XRAY        1.910    0.21    0.25
5XAUC        83      XRAY        1.800    0.20    0.24
5EMIA       180      XRAY        1.120    0.14    0.15
3IV4A       112      XRAY        1.500    0.15    0.19
3O3MA       408      XRAY        1.820    0.17    0.22
4X9ZA        50      XRAY        1.500    0.18    0.22
4PS6A       130      XRAY        1.250    0.12    0.16
2E9XA       149      XRAY        2.300    0.20    0.23
6CDDA       474      XRAY        2.580    0.19    0.23
5E56A       117      XRAY        1.500    0.18    0.20
3T9WA       299      XRAY        1.500    0.17    0.20
3QNMA       240      XRAY        1.700    0.17    0.20
4A7UA       153      XRAY        0.980    0.14    0.15
2O70A       174      XRAY        1.800    0.20    0.24
6F3HA       832      XRAY        2.700    0.20    0.24
5AJJA       168      XRAY        1.750    0.17    0.21
1T1UA       639      XRAY        1.550    0.17    0.23
5KAYA       201      XRAY        1.800    0.20    0.23
5UQDA       442      XRAY        1.800    0.17    0.19
3RY4A       170      XRAY        1.500    0.20    0.23
1PYAA        81      XRAY        2.500    0.15    1.00
5I20A       298      XRAY        2.400    0.23    0.25
3AQEA        91      XRAY        2.000    0.23    0.28
2WOLA       562      XRAY        1.450    0.19    0.20
3ZK4A       571      XRAY        1.650    0.15    0.17
4I6MA       477      XRAY        2.800    0.19    0.22
3OM0A       393      XRAY        1.400    0.18    0.20
5M86A       333      XRAY        2.400    0.18    0.20
1AVGI       142      XRAY        2.600    0.18    0.28
5M5EC       259      XRAY        2.300    0.20    0.23
2YK4A       327      XRAY        1.940    0.20    0.22
1RKQA       282      XRAY        1.400    0.18    0.21
2E4MC       146      XRAY        1.850    0.20    0.23
3HOIA       193      XRAY        1.550    0.16    0.19
5KLAA       337      XRAY        1.140    0.16    0.17
4WPEA       306      XRAY        2.700    0.21    0.25
6EMYA       317      XRAY        2.500    0.16    0.18
4YBBAM      114      XRAY        2.100    0.22    0.23
3I0YA       140      XRAY        1.500    0.17    0.21
3B0XA       575      XRAY        1.360    0.17    0.20
1NO7A       604      XRAY        2.900    0.26    0.29
4NJ6A        95      XRAY        2.400    0.21    0.27
4JNHA       199      XRAY        2.400    0.17    0.23
5NF4A       451      XRAY        1.750    0.15    0.18
2PIEA       138      XRAY        1.350    0.18    0.20
4DOXA       226      XRAY        2.700    0.17    0.23
1ESCA       306      XRAY        2.100    0.17    1.00
1UCSA        64      XRAY        0.620    0.14    0.15
3Q64A       162      XRAY        1.500    0.18    0.20
3DWOX       451      XRAY        2.200    0.21    0.25
1QKSA       567      XRAY        1.280    0.18    0.20
5DJ4A       480      XRAY        2.700    0.20    0.22
3QHPA       166      XRAY        1.500    0.20    0.23
5NFMA        75      XRAY        0.800    0.12    0.13
4XT1A       362      XRAY        2.890    0.20    0.25
1SG6A       393      XRAY        1.700    0.25    0.25
4L1JA       204      XRAY        1.820    0.18    0.20
1L4DB       122      XRAY        2.300    0.21    0.26
2ZSIB       110      XRAY        1.800    0.20    0.22
2B9DA        52      XRAY        1.600    0.21    0.25
1CC8A        73      XRAY        1.020    0.14    0.17
2YZSA       315      XRAY        2.000    0.22    0.25
2XI7A       184      XRAY        2.200    0.19    0.22
2YKTA       253      XRAY        2.110    0.24    0.28
3OT9A       399      XRAY        1.750    0.16    0.19
5MGRA       146      XRAY        1.800    0.17    0.20
5EC0A       388      XRAY        2.200    0.17    0.23
3GP6A       163      XRAY        1.400    0.17    0.21
1QYSA       106      XRAY        2.500    0.27    0.29
5WF2A       137      XRAY        1.850    0.19    0.22
2CZSA        80      XRAY        1.500    0.22    0.27
5MZWB       248      XRAY        1.520    0.14    0.16
2XQQA        89      XRAY        1.310    0.12    0.16
4ZP0A       392      XRAY        2.000    0.21    0.23
5EQJA       488      XRAY        2.200    0.18    0.21
4WW7B       187      XRAY        1.670    0.19    0.21
2AAMA       309      XRAY        2.200    0.22    0.24
1YT3A       375      XRAY        1.600    0.20    0.22
2R2ZA        93      XRAY        1.200    0.15    0.17
4YTLA        99      XRAY        1.600    0.19    0.20
3QBRA       179      XRAY        2.600    0.18    0.23
1TU1A       148      XRAY        1.950    0.20    0.24
4M70A       126      XRAY        2.100    0.25    0.28
1SLUA       142      XRAY        1.800    0.19    0.28
3FWZA       140      XRAY        1.790    0.17    0.20
2WWXB       217      XRAY        1.500    0.21    0.23
2B99A       156      XRAY        2.220    0.26    0.30
5XLYB       133      XRAY        1.760    0.21    0.23
3IP3A       337      XRAY        2.140    0.21    0.24
5MZ9A       922      XRAY        2.210    0.19    0.22
1WDCB       156      XRAY        2.000    0.19    0.28
2QRDA       137      XRAY        2.410    0.20    0.26
4E6WA       335      XRAY        2.190    0.20    0.24
6COJB       253      XRAY        1.400    0.15    0.17
3W56A       131      XRAY        1.600    0.21    0.25
3I7AA       281      XRAY        2.060    0.19    0.24
2ZYRA       484      XRAY        1.770    0.18    0.21
4QHQA       241      XRAY        1.400    0.17    0.20
5PHLA       364      XRAY        1.140    0.15    0.18
4M23A       364      XRAY        1.760    0.19    0.23
3Q3JB       214      XRAY        1.970    0.21    0.25
1AYOA       130      XRAY        1.900    0.20    0.24
2NSFA       261      XRAY        1.750    0.23    0.23
2XAPA       761      XRAY        2.100    0.20    0.23
4FQNA        98      XRAY        1.900    0.18    0.22
4ZB3A       310      XRAY        2.300    0.20    0.23
3W61A       108      XRAY        1.590    0.18    0.21
4MFUA       490      XRAY        2.740    0.25    0.32
5EWUA       388      XRAY        1.250    0.17    0.18
2YLEA       229      XRAY        1.800    0.19    0.24
2F5TX       233      XRAY        1.450    0.16    0.20
3UMHA       211      XRAY        2.000    0.21    0.24
3HKAA       427      XRAY        1.900    0.21    0.24
4LQKA       143      XRAY        1.990    0.20    0.22
5MVWA        70      XRAY        1.820    0.22    0.25
5I6KA       334      XRAY        1.070    0.14    0.16
3NPHB       148      XRAY        1.850    0.20    0.23
4CU4A       706      XRAY        2.300    0.21    0.26
1UFIA        64      XRAY        1.650    0.24    0.31
4C47A       207      XRAY        2.450    0.21    0.24
2ZKMX       799      XRAY        1.620    0.20    0.21
2HLJA       157      XRAY        2.000    0.17    0.23
3COVA       301      XRAY        1.500    0.17    0.20
1RIFA       282      XRAY        2.000    0.22    0.25
4YPOA       333      XRAY        1.000    0.15    0.16
3DO8A       148      XRAY        1.600    0.17    0.21
1UEKA       275      XRAY        1.700    0.18    0.22
4U4RN2      120      XRAY        2.800    0.21    0.25
3DI2A       154      XRAY        2.700    0.21    0.27
4O1IA       138      XRAY        2.800    0.18    0.23
4ETRA       153      XRAY        2.250    0.22    0.28
5Y69A       151      XRAY        1.850    0.19    0.24
4FVDA       152      XRAY        1.660    0.19    0.23
4JGPA       217      XRAY        2.030    0.18    0.22
4MZ7A       539      XRAY        1.800    0.20    0.23
1P57A       114      XRAY        1.750    0.19    0.21
3DUWA       223      XRAY        1.200    0.22    0.23
3UV5A       265      XRAY        2.030    0.19    0.23
4JZ5A       223      XRAY        1.100    0.14    0.14
3MDPA       142      XRAY        1.900    0.18    0.23
5LZ3B        58      XRAY        3.000    0.22    0.25
3PE7A       388      XRAY        1.650    0.18    0.21
1TAFB        70      XRAY        2.000    0.20    0.24
3FPNA       119      XRAY        1.800    0.23    0.25
3F2EA       100      XRAY        1.670    0.18    0.20
4Y6WA       229      XRAY        1.590    0.18    0.20
1WMHB        86      XRAY        1.500    0.22    0.22
5C2VA       782      XRAY        2.700    0.24    0.27
4OX0A       104      XRAY        2.490    0.23    0.27
1VKHA       273      XRAY        1.850    0.14    0.19
1T4WA       196      XRAY        2.100    0.24    0.23
4XZ7A       399      XRAY        2.100    0.19    0.24
1VK1A       242      XRAY        1.200    0.17    0.17
5HDWA       133      XRAY        2.000    0.20    0.24
2I7HA       189      XRAY        2.300    0.18    0.21
5K0PA       109      XRAY        1.940    0.16    0.24
1ZPVA        91      XRAY        1.900    0.19    0.24
4OKRA       278      XRAY        2.600    0.23    0.28
4U4RD6       97      XRAY        2.800    0.21    0.25
3LLVA       141      XRAY        1.700    0.21    0.23
4L2WA        87      XRAY        2.490    0.24    0.28
2FAOA       309      XRAY        1.500    0.21    0.21
1XQOA       256      XRAY        1.030    0.16    0.18
2WB0X       356      XRAY        1.950    0.19    0.24
4ZJHA       208      XRAY        1.600    0.18    0.22
5MB2B       504      XRAY        1.750    0.20    0.23
5IPXA       324      XRAY        2.400    0.21    0.25
4PAGA       324      XRAY        1.900    0.14    0.20
2XPPA       145      XRAY        1.740    0.20    0.23
4N0NA       423      XRAY        2.000    0.20    0.22
3G5JA       134      XRAY        1.760    0.17    0.20
5CHXA       214      XRAY        2.300    0.21    0.27
3EEHA       125      XRAY        1.950    0.18    0.20
1JU2A       536      XRAY        1.470    0.16    0.19
4XUOA       159      XRAY        1.700    0.21    0.25
1L9XA       315      XRAY        1.600    0.18    0.20
4DWDA       393      XRAY        1.500    0.14    0.17
3UEBA       110      XRAY        1.980    0.21    0.25
3T94A       270      XRAY        1.450    0.17    0.18
3HA4A       154      XRAY        2.400    0.21    0.26
4RI5A       306      XRAY        1.260    0.16    0.17
4N2PA       143      XRAY        1.440    0.14    0.18
3IFNP        40      XRAY        1.500    0.19    0.21
5FVKA        82      XRAY        1.660    0.19    0.22
3OE3A        98      XRAY        1.510    0.21    0.24
5IZ5A       814      XRAY        2.200    0.22    0.24
3E0EA        97      XRAY        1.600    0.23    0.27
3IJDA       315      XRAY        2.000    0.22    0.27
1GPRA       162      XRAY        1.900    0.16    1.00
1FTRA       296      XRAY        1.700    0.20    0.25
3KVPA        72      XRAY        2.400    0.20    0.24
3FNRA       464      XRAY        2.200    0.21    0.26
6CZ7A       814      XRAY        1.620    0.14    0.15
5XYVA        78      XRAY        2.100    0.22    0.25
3IA1A       154      XRAY        1.760    0.16    0.20
5ZE4A       573      XRAY        2.110    0.17    0.21
3ITQA       216      XRAY        1.400    0.20    0.21
5JAZA       422      XRAY        1.400    0.19    0.21
1EAYC        74      XRAY        2.000    0.22    1.00
2BS2C       256      XRAY        1.780    0.23    0.24
3WA1A       389      XRAY        1.750    0.17    0.21
2ZHJA       322      XRAY        1.350    0.14    0.20
5YJ9D       423      XRAY        2.530    0.23    0.24
3N3YA       216      XRAY        2.310    0.18    0.22
2PW6A       271      XRAY        2.270    0.24    0.27
3BHQA       211      XRAY        1.540    0.17    0.19
5FKTA       733      XRAY        1.520    0.17    0.19
2FNOA       248      XRAY        2.000    0.18    0.22
3PPLA       427      XRAY        1.250    0.11    0.12
3GAAA       252      XRAY        2.700    0.20    0.26
4Q51A       281      XRAY        1.900    0.16    0.21
2HRAA       209      XRAY        1.900    0.22    0.26
2CIBA       455      XRAY        1.500    0.20    0.23
5ITZD       129      XRAY        2.200    0.18    0.22
3SHGA       205      XRAY        1.500    0.18    0.21
4LZKA       187      XRAY        1.890    0.18    0.21
4AEEA       696      XRAY        2.280    0.19    0.24
2IA7A       134      XRAY        1.440    0.17    0.20
3QVPA       583      XRAY        1.200    0.18    0.19
5KX4A       101      XRAY        1.940    0.17    0.19
3CG6A       146      XRAY        1.700    0.23    0.27
3FFVA       181      XRAY        2.000    0.18    0.23
4EVYA       166      XRAY        1.770    0.17    0.21
3BGYA       237      XRAY        1.650    0.18    0.21
3V75A       301      XRAY        1.400    0.15    0.17
2G6TA       306      XRAY        3.000    0.25    0.26
3G9WC        52      XRAY        2.170    0.21    0.25
4UHTA       102      XRAY        1.150    0.13    0.16
2O7IA       592      XRAY        1.500    0.19    0.22
1OTKA       249      XRAY        2.000    0.19    0.23
5B19A       232      XRAY        1.850    0.24    0.27
1DS1A       324      XRAY        1.080    0.14    0.17
5BZ0A       313      XRAY        2.100    0.19    0.23
2HUJA       140      XRAY        1.740    0.17    0.21
3GNEA       252      XRAY        1.200    0.13    0.18
3EGEA       261      XRAY        2.400    0.18    0.20
5A1NB       240      XRAY        2.100    0.20    0.23
3LO8A       311      XRAY        1.050    0.12    0.15
3FLDA       153      XRAY        2.400    0.22    0.26
3LKBA       392      XRAY        2.400    0.18    0.24
4KEFA       143      XRAY        1.100    0.13    0.14
3MNFA       250      XRAY        2.970    0.22    0.24
2QTSA       438      XRAY        1.900    0.21    0.23
5IR4A       688      XRAY        1.480    0.14    0.15
6AS3A       106      XRAY        2.000    0.17    0.21
3G21A        77      XRAY        0.900    0.12    0.14
3NI7A       213      XRAY        2.780    0.25    0.28
5H5FA       234      XRAY        1.700    0.15    0.18
3V4YB        62      XRAY        2.100    0.16    0.20
3VIIA       487      XRAY        0.970    0.13    0.14
4CIJA       271      XRAY        2.300    0.20    0.23
2YV4A       105      XRAY        2.000    0.21    0.25
4OLEA       122      XRAY        2.520    0.17    0.19
3QF2A       110      XRAY        1.700    0.21    0.23
4OOGA       110      XRAY        2.500    0.22    0.24
5B7HA       219      XRAY        1.490    0.16    0.19
4YCUC        42      XRAY        2.100    0.19    0.21
1ZBOA       210      XRAY        2.600    0.24    0.30
4BQ6D       251      XRAY        2.300    0.22    0.27
3E3RA       204      XRAY        2.650    0.23    0.28
5TZNF       190      XRAY        2.600    0.21    0.25
2A19A       175      XRAY        2.500    0.23    0.29
3LICA       274      XRAY        2.300    0.18    0.24
3KK4A       125      XRAY        1.950    0.15    0.20
2V33A        91      XRAY        1.550    0.20    0.23
2ZPAA       671      XRAY        2.350    0.23    0.27
3WKXA       669      XRAY        2.000    0.23    0.28
3CS1A       219      XRAY        2.000    0.22    0.29
2BIBA       547      XRAY        1.920    0.20    0.23
1XG0A        76      XRAY        0.970    0.11    0.13
4ZZFA       146      XRAY        2.170    0.20    0.23
5J71A       400      XRAY        1.650    0.18    0.20
5YQ5A       430      XRAY        2.170    0.22    0.24
3W6VA       147      XRAY        2.950    0.24    0.28
1SZIA       247      XRAY        2.800    0.24    0.27
4FDDA       852      XRAY        2.300    0.28    0.24
2VWAA       101      XRAY        2.500    0.22    0.27
3MLNA       224      XRAY        2.400    0.17    0.22
3NYCA       381      XRAY        1.060    0.14    0.16
1M93B       245      XRAY        1.650    0.19    0.24
5MLTA       455      XRAY        1.610    0.20    0.23
3EJ9A        76      XRAY        1.500    0.21    0.25
3U6XS       105      XRAY        2.600    0.18    0.21
4HJIA       175      XRAY        1.600    0.22    0.25
